LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
Panek,Michael,dntisler@jumpstartlab.com,84105,Salt lake city,UT,1434 wilson ave.,8013626000
Cebulski,Kate,orazrya1@jumpstartlab.com,84102,Salt lake city,UT,1033 barbara pl apt 2,8015505000
Engel,Megan,bgc64@jumpstartlab.com,84102,Salt lake city,UT,219 elizabeth st.,8015505000
Gilbert,Kristen,tpollins6@jumpstartlab.com,84121,Salt lake city,UT,1343 ashwood circle,8015505000
Myett,Student,wjang@jumpstartlab.com,84106,Salt lake city,UT,834 e. pond view way,8015505000
Xx,Adrienne,rrthleen.oflaherty@jumpstartlab.com,84121,Salt lake city,UT,1213 medical plaza,8015505000
Ludmer,Eileen,mhulger@jumpstartlab.com,84103,Salt lake city,UT,723 11th avenue,8015505000
Boozel,Alex,jyhiang@jumpstartlab.com,84103,Salt lake city,UT,220 a street,8015505000
Berkley,Susan,ceebst.4@jumpstartlab.com,84102,Salt lake city,UT,1033 barbara pl,8015505000
Kopkin,Emma,sxcoffey@jumpstartlab.com,84102,Salt lake city,UT,1033 barbara pl,8015505000
Armacost,Kate,hgle.saud@jumpstartlab.com,84102,Salt lake city,UT,1033 barbara pl,8015505000
Woolworth,Lindsey,eoeal@jumpstartlab.com,84111,Salt lake city,UT,350 south 200 east #406,8013594000
Wynn,Rich,vkrenzo.serna@jumpstartlab.com,84109,Salt lake city,UT,2887 wainwright road,8015505000
